feedback_id,customer_id,order_id,visit_date,feedback
FED-2021,ML-78227,ODR-101,2019-04-18,Nam nulla.
FED-2022,AM-99585,ODR-102,2018-06-26,Curabitur convallis.
FED-2023,CU-94010,ODR-103,2018-11-13,Suspendisse potenti. In eleifend quam a odio.
FED-2024,HC-11674,ODR-104,2019-09-28,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
FED-2025,MT-42139,ODR-105,2018-01-16,Duis mattis egestas metus.
FED-2026,KT-58461,ODR-106,2019-10-25,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
FED-2027,NA-95910,ODR-107,2019-06-16,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
FED-2028,QC-33134,ODR-108,2018-06-28,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue."
FED-2031,RF-13605,ODR-111,2019-04-12,Morbi ut odio.
FED-2032,FD-22169,ODR-112,2018-07-16,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
FED-2033,QW-93437,ODR-113,2019-10-04,Nullam molestie nibh in lectus.
FED-2034,FV-25340,ODR-114,2018-10-26,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.
FED-2035,BX-02349,ODR-115,2018-12-24,Suspendisse potenti.
FED-2036,JZ-98723,ODR-116,2018-03-20,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
FED-2037,XF-01407,ODR-117,2018-12-13,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
FED-2038,JN-89651,ODR-118,2019-04-29,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.
FED-2039,QJ-51997,ODR-119,2019-12-27,Suspendisse potenti. Cras in purus eu magna vulputate luctus.
