offer_id,service_id,start_date,end_date,discount_percentage,max_discount
OFR-1001,SEC-7101,2019-04-18,2020-09-30,10,103
OFR-1002,SEC-7102,2018-06-26,2020-12-31,7,265
OFR-1003,SEC-7103,2018-11-13,2020-05-03,3,95
OFR-1004,SEC-7104,2019-09-28,2021-04-01,10,359
OFR-1005,SEC-7105,2018-01-16,2020-09-27,3,389
OFR-1006,SEC-7106,2019-10-25,2021-09-07,3,274
OFR-1007,SEC-7107,2019-06-16,2021-07-28,6,162
OFR-1008,SEC-7108,2018-06-28,2021-10-16,8,381
OFR-1009,SEC-7109,2019-05-07,2020-07-19,2,74
OFR-1010,SEC-7110,2018-11-07,2021-03-16,6,186
OFR-1011,SEC-7111,2019-04-12,2021-03-24,5,417
OFR-1012,SEC-7112,2018-07-16,2020-03-17,7,473
OFR-1013,SEC-7113,2019-10-04,2020-07-01,8,106
OFR-1014,SEC-7114,2018-10-26,2021-06-07,2,443
OFR-1015,SEC-7115,2018-12-24,2020-05-15,3,473
